Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.015426394735774,2.086444218255304,1.944408571216245,1.225484950703858,-0.1147775842426087,0.9757778391300724,0.1461574553629922,0.7985485147972793,-1.200749080276942,-0.8496114310315993,-0.7448224534919115,-0.2379274777983444,-0.03927360180341003,0.1516445269941284,0.8848600215293424,-1.163326415090281,0.04279454200297942,0.4120053005560385,1.261189380553259,0.2779322792663508
2,1.962416711659357,1.998117528525865,1.926715894792849,1.037715232263734,-0.8981055358876318,-1.673938954278877,-1.544903573023612,-1.220618202635485,-2.068847636959264,-2.263302031443757,-1.819721668737601,-0.8354078611393141,0.2719473159086512,-1.546423454509495,-1.061303577535494,-1.833948794969618,0.04243881387653803,0.3599070795143364,0.5196052857123755,0.27381845407584
3,1.998029236286679,2.013944167966007,1.982114304607351,-0.6527386178290511,-1.583816909493575,-1.198288776976156,-0.6996867376752254,-0.7040591726988336,-0.9109181902358598,-0.8845019354267084,-1.615941938292489,-0.9477998965362405,0.1272476495151563,-0.4056415388170535,-0.7125841851493583,0.2658699403238417,0.04243881387653803,0.3599070795143364,-0.615360533239831,0.2675224034878401
4,1.997241713251786,2.03661353393651,1.957869892567063,1.037715232263734,-0.8981055358876318,-0.3492868157387715,0.1461574553629922,0.7985485147972793,-1.200749080276942,-0.8496114310315993,-0.7448224534919115,-1.432718318951473,-0.9447983265120465,-0.4308683949806701,-0.2130942234988652,-0.6530891200325382,0.05062644419978219,1.559027819994764,-0.2252286429959278,0.2696866009252883
5,2.065715084575557,2.129846998484505,2.001583170666609,-0.9696615597787104,-1.476347266878795,-1.673938954278877,-1.544903573023612,-1.241653377883256,-0.9049707434334942,-1.396922874096735,-1.407077389819233,-2.029854856961502,-0.6554573193549919,1.762550480263085,1.841183769640212,1.003816929109906,0.03431634489188364,-0.8296704464466667,1.241203313893816,0.2778214095955274
6,2.074355034564258,2.123412118103181,2.025297951025335,-0.9696615597787104,-1.476347266878795,-1.861927450919626,-2.677181067952648,-0.2266504138522374,-0.3098645109471005,-0.9243930108425519,-1.19316463485802,-2.144010516274495,-2.34486985499057,2.039315433120009,1.699399559218289,1.902700854972805,0.03431634489188364,-0.8296704464466667,1.534724025479068,0.2794496711853545
7,1.999429511421548,2.063585652265203,1.935273370577894,1.225484950703858,0.6833472069406562,-0.1449394830981365,-0.3682513298077613,-0.1850203197704217,-1.200749080276942,-0.8496114310315993,-1.154327873606181,-0.001158131541481445,0.8822065010030022,-0.3607862928728423,0.381201283802084,-1.509586632943187,0.04196350091316502,0.2902950415866211,0.4980874822592095,0.2736990873276776
8,1.999484695130176,2.054560819044108,1.944408571216245,-0.6527386178290511,-1.583816909493575,-1.198288776976156,-0.1559476674992384,-0.7354463791130827,-0.8970413130072838,-1.346804283006885,-0.08206432158530984,0.5946938906076606,0.5790943771865699,-0.3590185839697962,0.1823508349023557,-1.163326415090281,0.04277496225831016,0.4091377458424895,0.5196052857123755,0.27381845407584
9,2.025123837042369,2.058504874992806,1.991742799091932,0.02848174744708688,-0.1147775842426087,-0.3492868157387715,0.1461574553629922,0.7985485147972793,-0.8970413130072838,-0.350134102178012,-0.4884760537563966,-0.8354078611393141,-1.566917510263345,0.4622843068918736,0.2692529722239843,0.6308279450588495,0.04243881387653803,0.3599070795143364,-0.6344036732508807,0.2674167645594585
10,2.000163403208435,2.040513896528999,1.959812909887872,0.7296524097242488,0.006251273640186287,-0.8058402632242685,-1.217984471911869,1.314873097199231,-0.2802915427750303,-0.350134102178012,-0.4884760537563966,-0.596817037297018,-0.6554573193549919,-0.3372774153833355,-0.1271548123887294,-0.5794410823560681,0.05105080219894707,1.62117724029074,0.1049742415813442,0.2715183513012787
11,1.984265309422184,2.024122047628123,1.944408571216245,2.225465957847717,-0.1147775842426087,-0.1449394830981365,-0.3682513298077613,-2.203630720298449,-0.2802915427750303,0.6555274042138555,1.244916787284959,1.341952871312602,0.9341602793459763,-0.8465436938943239,-0.4883278592896598,-1.163326415090281,0.0427524036056425,0.4058339146699583,-0.3753527211300499,0.2688538103913127
12,2.046707100878337,2.11343182866981,1.979982373086864,0.4821999259271366,0.1518256594089938,-0.1449394830981365,-0.3682513298077613,-1.220618202635485,-0.6119603304003415,-0.3897946626619219,0.3770086845500459,-0.1218208566430791,0.4195005599581391,1.153664581762934,1.479496876769139,0.1850613076560138,0.03431634489188364,-0.8296704464466667,1.981048520235023,0.2819255885660569
13,2.0024160363911,2.019168493451719,1.985663579330482,0.5317284355880385,0.5678822598704611,0.3131950526134242,0.4820399187440087,-0.7040591726988336,1.474067776392314,2.02090970172426,1.452503323235128,0.2490378017689875,0.1272476495151563,-0.265118442539796,-0.5974729756032554,0.4004014834726196,0.05143077281488475,1.676825899103595,1.083748821264614,0.2769479546999284
14,2.018012235065438,2.029903568291474,2.006120901839402,-0.6527386178290511,0.5678822598704611,0.5160852365092936,0.4820399187440087,0.3364591618442153,0.8669696663641195,0.1072123679901617,-0.2877814521329811,0.7189471704807355,-0.1937191750413584,0.2344771797144332,-0.3609395795214378,1.175814879308497,0.04241971813528796,0.3571104096008458,0.573937402913918,0.2741198532481691
15,1.993875715384054,2.012663032869459,1.97508839789865,-1.313687704379064,0.4769100893595609,0.9757778391300724,1.33287683270966,0.860340720928967,-0.004656297640166919,0.6064824710349305,0.3770086845500459,0.8476829120126783,0.7506689174827063,-0.5386919636816124,-0.7408123288511551,-0.0004396990458508948,0.04241971813528796,0.3571104096008458,-0.1414251048459056,0.2701514883314421
16,1.991079224887566,2.013863621921097,1.968294827854034,0.02848174744708688,0.6833472069406562,1.177231268760158,-0.3682513298077613,-0.1850203197704217,0.2781435085135329,-0.350134102178012,0.8445605614955178,0.5946938906076606,0.2719473159086512,-0.628272408179288,-0.714358912370907,-0.2579428603636382,0.04243881387653803,0.3599070795143364,1.138083481936038,0.2772493679817706
17,1.971837453806585,1.991432754677844,1.952242152935326,-1.313687704379064,-0.2829292468541617,-0.534564226671688,0.1461574553629922,-0.1850203197704217,0.2781435085135329,0.5672279878210227,-0.08206432158530984,0.1429200716418381,1.822216551436924,-1.244647256769395,-1.208593865112781,-0.8664026998923869,0.0420889437396518,0.3086667912927293,-0.615360533239831,0.2675224034878401
18,1.985265812096224,2.008358169767301,1.962173454425147,-1.313687704379064,-0.8981055358876318,-0.534564226671688,0.1461574553629922,1.833629871608971,1.757038305463267,1.005452057558076,0.1341064033730527,-0.6563959759789642,0.305781658221543,-0.814494425579577,-0.835664381996573,-0.4899671125893769,0.04241971813528796,0.3571104096008458,-0.2252286429959278,0.2696866009252883
19,1.987977737460462,1.990291895590442,1.985663579330482,0.3712813410599241,1.936851801443831,1.838496060066549,1.706342085159463,0.429567283932488,1.474067776392314,1.029873526037708,1.452503323235128,1.24194842413857,0.4962614491211079,-0.727622870007338,-1.233731209604735,0.4004014834726196,0.04243881387653803,0.3599070795143364,-1.774037276134032,0.2610948201486911
20,1.965536694211903,1.969450555420091,1.961622833003716,0.887303011171536,0.4769100893595609,0.9757778391300724,1.839672503175048,0.860340720928967,0.8884296662323148,0.5672279878210227,-0.08206432158530984,0.1429200716418381,0.5790943771865699,-1.446480535256576,-1.692943002999345,-0.510837841201393,0.04241971813528796,0.3571104096008458,-0.615360533239831,0.2675224034878401
21,2.039711125404841,2.062811404569949,2.016610846239733,-0.4719924785147422,-0.7961942367193529,0.3131950526134242,0.4820399187440087,-0.7040591726988336,-0.3197239190873356,-0.4195512493231643,-0.974240806446985,-1.05556260821252,-1.566917510263345,0.9295613375725681,0.3641417439758021,1.573425241370471,0.02631943507728606,-2.000859183584951,-1.037016427264731,0.2651833314248947
22,2.019880812714511,2.064673227530373,1.97508839789865,-1.752236708387116,-0.5083086241699537,-0.4443167447863541,0.4128671377372151,0.2743381636893735,0.2781435085135329,0.5672279878210227,1.244916787284959,1.341952871312602,1.822216551436924,0.2943336378688962,0.4051645886514009,-0.0004396990458508948,0.02630759240129738,-2.002593604637219,-1.037016427264731,0.2651833314248947
