Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.073394781015369,2.151456609573876,1.995332952456863,-0.8806456344181582,-0.9649971099114985,-0.8722831666944854,-0.866568637781806,-0.8575860631687137,-1.079182392875646,-0.911480951934146,-0.9124345893577296,-0.7805616605799712,-0.5883074824206811,0.6792485334283009,0.7680572682480258,0.5316983846505741,0.02525864672544669,-1.521640996132225,-0.00933556837444948,0.2533773543393094
2,2.065549079360236,2.128815372548467,2.002282786172004,-0.9465485937609779,-0.8263489143866538,-0.7551368991473328,-0.787369059979371,-0.8492064686267352,-1.018716648361819,-0.9659272596712747,-0.8538601218690963,-0.7113214828836226,-0.4980572705575498,0.6432629269147223,0.6835689255955769,0.5725929365601907,0.02879928826761512,-0.6364397574911045,-0.5081471215841071,0.2512748063259828
3,2.113381547071683,2.1706072712884,2.056155822854968,-0.8071892370426024,-0.8696476581457809,-0.8826112604121378,-0.883613100485529,-0.9093153726154765,-0.8468554992211232,-0.8128267407135994,-0.76041510226066,-0.8091417555295244,-0.7271465362729703,0.8626544405483487,0.8395201334237232,0.8895952974023399,0.02878551770773524,-0.6398825563503729,-0.4877568126895288,0.2513607538209466
4,2.116739851623769,2.1706072712884,2.062872431959138,-1.161735125034074,-1.05213689839708,-1.009910025848059,-0.9430064656086722,-0.9671123284082607,-0.6139314163478172,-0.6054997504842563,-0.7239494219795429,-0.6702261897384767,-0.7678145425025495,0.8780578590666945,0.8395201334237232,0.9291174976340797,0.03319799646373008,0.4632880452949164,0.8502867816756357,0.2570007613207216
5,2.111082826391558,2.208318639641541,2.013847013141574,-1.224096199969164,-0.9125838217726148,-0.7934493466008814,-0.7193674105539907,-0.753299281794434,-0.7869787791156372,-0.7586511682026775,-0.8187791472490095,-0.7396937993506447,-0.6782285866538021,0.852110978469911,0.9802443795299433,0.6406397272440232,0.03572112076631747,1.094098233588646,0.4145878787044465,0.2551642403801859
6,2.117108640633283,2.188588683239312,2.045628598027254,-0.6674466568794037,-0.6871379778810328,-0.7751044578817283,-0.7541670949605281,-0.8575860631687137,-0.6708810908154714,-0.8167953780523489,-0.8006223591654037,-0.7531212592235432,-0.6075617522385839,0.8797493707716065,0.90661981055614,0.8276504855080331,0.03293324609693921,0.3970973988194666,-0.5081471215841071,0.2512748063259828
7,2.119986255404857,2.187506833375165,2.052465677434548,-0.6674466568794037,-0.7386776435553049,-0.7751044578817283,-0.7541670949605281,-0.753299281794434,-0.6726629489609046,-0.6594105379386476,-0.6657992194351222,-0.7396937993506447,-0.6782285866538021,0.8929480262162426,0.9025827651456831,0.8678815629973563,0.03572112076631747,1.094098233588646,-0.00933556837444948,0.2533773543393094
8,2.118721454504468,2.193566430474449,2.043876478534486,-0.7395410805971664,-0.6943120535809282,-0.765322820149117,-0.7709690739947277,-0.8055793900729519,-0.9029247099980018,-0.9164875072838736,-0.8365259481831383,-0.8346190077082479,-0.9280438120094765,0.8871468079798036,0.9251948386594017,0.8173405781799253,0.03570404048891901,1.089827967161113,0.4333248509554241,0.2552432188712184
9,2.091572192378222,2.145996198631905,2.03714818612454,-0.699126689958438,-0.5743355680252352,-0.7066609066427647,-0.714594355589829,-0.6402261456822878,-0.8468554992211232,-0.8128267407135994,-0.76041510226066,-0.8091417555295244,-0.7271465362729703,0.7626222330018857,0.7476811258062203,0.7777496304681613,0.03599078753743473,1.161518037872803,1.350829858073223,0.2591106079032481
10,2.101868051656527,2.164735827713807,2.039000275599247,-0.9465485937609779,-0.9125838217726148,-0.8925297554433573,-0.8312700586236733,-0.753299281794434,-0.8468554992211232,-0.8128267407135994,-0.76041510226066,-0.8091417555295244,-0.5883074824206811,0.8098458921459751,0.817610176117151,0.7886477860599498,0.03600828285769547,1.165892069804809,1.824741905547074,0.2611082016387903
