Frame no,Nose ratio,Blink Ratio,Blink Ratio_delta,Left Eye ratio,Left Eye ratio_delta,Right Eye Ratio,Right Eye Ratio_delta,Sub_P1,Sub_P1_delta,Sub_P2,Sub_P2_delta,Sub_P3,Sub_P3_delta,Sub_P4,Sub_P4_delta,Sub_P5,Sub_P5_delta,REB_P1,REB_P1_delta,REB_P2,REB_P2_delta,REB_P3,REB_P3_delta,REB_P4,REB_P4_delta,REB_P5,REB_P5_delta,N_Blink ratio,N_Blink ratio_delta,N_left Blink,N_left Blink_delta,N_right Blink,N_right Blink_delta,Mouth_Ratio,Mouth_Ratio_delta,Normalized Mouth ratio,Normalized Mouth ratio_delta,Norlamized Nose Ratio,Norlamized Nose Ratio_delta
1,0.2764666008903542,2.106295987155779,,2.178814524194129,,2.033777450117429,,1.76411171335884,,1.884122969237715,,1.863653210072242,,1.541798524426179,,0.5183195619445308,,-1.278421684410366,,1.6655124497444869,,2.119008988292625,,2.12233805577611,,1.874453703917958,,-1.969822428528519,,-1.9049484440103617,,-1.869099790032765,,0.032132431705749066,,-0.3810675274068671,,0.8619917621230744,
2,0.2818524313079019,2.1312512671242403,0.02495527996846114,2.2293664599987997,0.050551935804670656,2.03313607424968,-0.0006413758677488168,1.8144382740310618,0.050326560672221854,2.4721463453747727,0.5880233761370577,2.1678828644317343,0.30422965435949223,1.305378824960173,-0.23641969946600594,0.5149218664735917,-0.003397695470939044,-0.5101361448410773,0.7682855395692887,0.973712817405592,-0.6917996323388949,1.5744218762377469,-0.5445871120548782,1.8195441717852858,-0.3027938839908242,2.0658785915702933,0.19142488765233523,-1.781135287270753,0.18868714125776598,-1.523361959423841,0.38158648458652067,-1.8735615365685931,-0.004461746535828093,0.04007033894587368,0.007937907240124616,0.4998860967552566,0.8809536241621236,2.215546172081497,1.3535544099584225
3,0.2781741900938406,2.1282235756778216,-0.003027691446418679,2.2245497824814033,-0.004816677517396339,2.031897368874242,-0.0012387053754379096,2.047964542157071,0.2335262681260093,1.884122969237715,-0.5880233761370577,1.774014116350722,-0.39386874808101235,1.7566894765786358,0.45131065161846284,0.5183195619445308,0.003397695470939044,-0.9155678724028058,-0.4054317275617285,0.973712817405592,0.0,1.985600412220896,0.411178535983149,2.183307869828202,0.3637636980429162,2.0658785915702933,0.0,-1.8040276949839569,-0.022892407713203777,-1.559720192041326,-0.03635823261748494,-1.882178620084944,-0.00861708351635082,0.032657301980528464,-0.007413036965345218,-0.3228171149499668,-0.8227032117052233,1.2911391205779208,-0.924407051503576
4,0.2703991490893636,2.137157795602289,0.008934219924467524,2.205081703951334,-0.019468078530069377,2.0692338872532443,0.037336518379002204,1.9055793669492298,-0.14238517520784133,1.683235846726869,-0.20088712251084595,1.6067884512894333,-0.16722566506128866,1.198428473430819,-0.5582610031478168,-1.132132308043982,-1.6504518699885127,-0.1510941042229623,0.7644737681798435,1.6655124497444869,0.6917996323388949,2.119008988292625,0.13340857607172918,1.8195441717852858,-0.3637636980429162,1.630558709551613,-0.4353198820186803,-1.7364759616815735,0.0675517333023834,-1.7066731332036131,-0.1469529411622872,-1.622446238631541,0.25973238145340294,0.03169715407001309,-0.0009601479105153729,-0.4293748959762571,-0.10655778102629032,-0.6628661531360749,-1.9540052737139957
5,0.2764666008903542,2.1747918655132823,0.03763406991099316,2.272539024426112,0.06745732047477793,2.077044706600452,0.007810819347207509,1.3852926364540559,-0.5202867304951739,1.2262436549551698,-0.45699219177169925,0.6596848613072186,-0.9471035899822147,1.302452136753838,0.10402366332301893,-0.1305173406987904,1.0016149673451915,-0.8610488790648648,-0.7099547748419025,0.973712817405592,-0.6917996323388949,1.301446293117146,-0.8175626951754791,1.458864136335907,-0.3606800354493789,1.630558709551613,0.0,-1.4519243527885928,0.2845516088929807,-1.197477958580474,0.5091951746231391,-1.568110087371825,0.054336151259716026,0.032657301980528464,0.0009601479105153729,-0.3228171149499668,0.10655778102629032,0.8619917621230744,1.5248579152591493
6,0.2758832465802351,2.171642466946575,-0.003149398566707262,2.234990256931118,-0.03754876749499392,2.1082946769620334,0.031249970361581614,0.6769866190800767,-0.7083060173739791,-0.1633502318823205,-1.3895938868374904,-0.1542726801797129,-0.8139575414869316,-0.5114395409072954,-1.8138916776611334,-0.1133574941133167,0.01715984658547369,-0.8610488790648648,0.0,0.2892300632714409,-0.6844827541341512,0.8937699064165516,-0.40767638670059436,0.9123088447192764,-0.5465552916166305,0.9108843661229271,-0.7196743434286859,-1.475736989352248,-0.023812636563655287,-1.480911262585574,-0.28343330400510003,-1.3507189225082472,0.2173911648635778,0.04072834405475367,0.008071042074225203,0.5729118915711602,0.895729006521127,0.7153845097934302,-0.14660725232964422
7,0.2691414127454258,2.284673313126339,0.11303084617976378,2.371414771358518,0.1364245144274001,2.19793185489416,0.08963717793212655,-0.08032623391019313,-0.7573128529902698,-0.6936711023034846,-0.5303208704211642,-1.225921226475142,-1.071648546295429,-1.066043764559943,-0.5546042236526476,-2.343656913245858,-2.230299419132541,-1.7872523855929492,-0.9262035065280844,-0.6130653504341905,-0.9022954137056314,0.3093314201836358,-0.5844384862329158,0.1631725079736654,-0.749136336745611,0.5743864711694391,-0.33649789495348803,-0.6211095411104192,0.8546274482418289,-0.4511237768417555,1.0297874857438185,-0.727155754278636,0.6235631682296112,0.03293324609693921,-0.007795097957814454,-0.2921926742674811,-0.8651045658386413,-0.9789575342080404,-1.6943420440014707
8,0.2753667932319944,2.387016779425455,0.10234346629911606,2.532182548244446,0.16076777688592792,2.2418510106064637,0.04391915571230376,-0.7702391179809767,-0.6899128840707835,-1.033303663696088,-0.33963256139260334,-1.4841637259714082,-0.2582424994962662,-1.816674742424158,-0.7506309778642151,-2.552085418858105,-0.20842850561224724,-1.698227874462709,0.08902451113024012,-0.983000230926844,-0.36993488049265344,-0.1712158492540265,-0.4805472694376623,-0.1139843904691489,-0.2771568984428143,-0.2266830340213548,-0.8010695051907939,0.1527105124732935,0.7738200535837126,0.7624165127671638,1.2135402896089194,-0.4216310990661428,0.30552465521249317,0.02414335424923689,-0.008789891847702323,-1.267700052343733,-0.9755073780762519,0.5855906520493396,1.56454818625738
9,0.2809095075683782,2.45802047358292,0.07100369415746499,2.577050274793234,0.04486772654878779,2.338990672372606,0.0971396617661422,-0.9639166563408694,-0.19367753835989276,-0.7657592069338011,0.2675444567622869,-1.004706727627986,0.47945699834342226,-1.016584561136052,0.800090181288106,-0.2800047723570062,2.2720806465010988,-0.8003828065340033,0.8978450679287058,-1.1289707737129109,-0.14597054278606691,-0.7239484728013351,-0.5527326235473087,-0.4448304297316512,-0.33084603926250233,-0.3300866182410417,-0.10340358421968687,0.6895702105510167,0.5368596980777233,1.1010962838306368,0.338679771063473,0.2541232770646361,0.6757543761307789,0.04072834405475367,0.016584989805516776,0.5729118915711602,1.8406119439148931,1.9785727646514384,1.3929821126020987
10,0.2746373427557386,2.521376561641108,0.06335608805818804,2.645353004504401,0.06830272971116713,2.397400118777814,0.058409446405208065,-1.157081412286395,-0.19316475594552562,-1.295450878689449,-0.5296916717556479,-1.557410447268609,-0.552703719640623,-2.2091225601982893,-1.1925379990622373,-1.112953320590637,-0.8329485482336307,-1.0830989779308828,-0.28271617139687955,-1.746014652003499,-0.617043878290588,-1.119479613813004,-0.395531141011669,-0.7485828392385456,-0.3037524095068944,-0.5602466434778698,-0.2301600252368281,1.1686062763488478,0.4790360657978311,1.616672949754074,0.5155766659234371,0.6604499854149122,0.40632670835027607,0.03273304886164356,-0.007995295193110104,-0.3144106814381181,-0.8873225730092783,0.4022668500660274,-1.576305914585411
